title,pleiades_uri,talbert_uri
Rome's World: Firmoviceno,https://pleiades.stoa.org/places/413135,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1184.html
Rome's World: Adaqvas,https://pleiades.stoa.org/places/412990,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1185.html
Rome's World: Svrpicano,https://pleiades.stoa.org/places/416863,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1186.html
Rome's World: Admartis,https://pleiades.stoa.org/places/413380,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1187.html
Rome's World: Palacrinis,https://pleiades.stoa.org/places/413251,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1188.html
Rome's World: Foroecri,https://pleiades.stoa.org/places/413146,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1189.html
"Rome's World: (unnamed / illegible, no. 27)",,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace119.html
Rome's World: Interocrio,https://pleiades.stoa.org/places/413181,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1190.html
Rome's World: Admartis,https://pleiades.stoa.org/places/413380,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1187.html
"Rome's World: (symbol, no name, no. 33)",https://pleiades.stoa.org/places/413225,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1192.html
Rome's World: Fisternas,https://pleiades.stoa.org/places/413136,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1193.html
