title,pleiades_uri,,tp_online_uri
TP-Online: Erulos,https://pleiades.stoa.org/places/413142,,https://tp-online.ku.de/trefferanzeige_en.php?id=212
TP-Online: Pitinum,https://pleiades.stoa.org/places/413260,,https://tp-online.ku.de/trefferanzeige_en.php?id=213
TP-Online: Priferno,https://pleiades.stoa.org/places/416846,,https://tp-online.ku.de/trefferanzeige_en.php?id=214
TP-Online: Amiternvs (Amiternus),https://pleiades.stoa.org/places/413013,,https://tp-online.ku.de/trefferanzeige_en.php?id=215
TP-Online: Aque Cutillie (Aquae Cutiliae),https://pleiades.stoa.org/places/413024,,https://tp-online.ku.de/trefferanzeige_en.php?id=216
TP-Online: Reate,https://pleiades.stoa.org/places/413283,,https://tp-online.ku.de/trefferanzeige_en.php?id=217
TP-Online: Sicca Veria,https://pleiades.stoa.org/places/315152,,https://tp-online.ku.de/trefferanzeige_en.php?id=218
TP-Online: Ad nouas (Ad Novas),https://pleiades.stoa.org/places/413382,,https://tp-online.ku.de/trefferanzeige_en.php?id=219
TP-Online: Ereto,https://pleiades.stoa.org/places/413121,,https://tp-online.ku.de/trefferanzeige_en.php?id=220
TP-Online: Fidenis,https://pleiades.stoa.org/places/422923,,https://tp-online.ku.de/trefferanzeige_en.php?id=221
TP-Online: Roma,https://pleiades.stoa.org/places/423025,,https://tp-online.ku.de/trefferanzeige_en.php?id=222
TP-Online: Inter manana,https://pleiades.stoa.org/places/413178,,https://tp-online.ku.de/trefferanzeige_en.php?id=223
TP-Online: Aequo Falsico,https://pleiades.stoa.org/places/416773,,https://tp-online.ku.de/trefferanzeige_en.php?id=224
TP-Online: Farfar Flumen,https://pleiades.stoa.org/places/413131,,https://tp-online.ku.de/trefferanzeige_en.php?id=225
TP-Online: Aqua uiua (Aqua viva),https://pleiades.stoa.org/places/413021,,https://tp-online.ku.de/trefferanzeige_en.php?id=226
TP-Online: Ad uicesimum (Ad Vicesimum),https://pleiades.stoa.org/places/412998,,https://tp-online.ku.de/trefferanzeige_en.php?id=227
TP-Online: Ad rubras (Ad Rubras),https://pleiades.stoa.org/places/423061,,https://tp-online.ku.de/trefferanzeige_en.php?id=228
